,filename,path_image,label_target,class_target
0,769398944052809728-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/769398944052809728-1.jpg,Positive,2
1,769505512933195776-2.jpg,/tf/notebooks/image_classifier/dataset_minify/Neutral/769505512933195776-2.jpg,Neutral,1
2,782847510066831364-2.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/782847510066831364-2.jpg,Positive,2
3,796421359937191940-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/796421359937191940-1.jpg,Negative,0
4,801193827776294913-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/801193827776294913-1.jpg,Negative,0
5,783373089899962372-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Neutral/783373089899962372-1.jpg,Neutral,1
6,803382952478568448-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/803382952478568448-1.jpg,Negative,0
7,781288810227335168-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Neutral/781288810227335168-1.jpg,Neutral,1
8,783343910135402496-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/783343910135402496-1.jpg,Negative,0
9,781208950700138497-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/781208950700138497-1.jpg,Positive,2
10,803391475299979264-2.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/803391475299979264-2.jpg,Negative,0
11,769290429024133120-2.jpg,/tf/notebooks/image_classifier/dataset_minify/Neutral/769290429024133120-2.jpg,Neutral,1
12,796207483987501056-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/796207483987501056-1.jpg,Negative,0
13,800363607263506436-2.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/800363607263506436-2.jpg,Negative,0
14,783523401189163009-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Neutral/783523401189163009-1.jpg,Neutral,1
15,784375515977318402-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/784375515977318402-1.jpg,Positive,2
16,769093955241771008-2.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/769093955241771008-2.jpg,Positive,2
17,798690075739557888-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/798690075739557888-1.jpg,Negative,0
18,781204315964866560-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/781204315964866560-1.jpg,Positive,2
19,784793092515893249-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Neutral/784793092515893249-1.jpg,Neutral,1
20,780869526640533504-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/780869526640533504-1.jpg,Positive,2
21,370467465_0dcd9c3160.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/370467465_0dcd9c3160.jpg,Positive,2
22,784528478058188800-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/784528478058188800-1.jpg,Positive,2
23,768550016914980864-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/768550016914980864-1.jpg,Negative,0
24,798964177721114628-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/798964177721114628-1.jpg,Negative,0
25,780443863492259840-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/780443863492259840-1.jpg,Positive,2
26,783055048439922692-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/783055048439922692-1.jpg,Positive,2
27,769293960644796416-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/769293960644796416-1.jpg,Positive,2
28,769328630765850624-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Neutral/769328630765850624-1.jpg,Neutral,1
29,784008833177755648-4.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/784008833177755648-4.jpg,Positive,2
30,798468964640694272-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/798468964640694272-1.jpg,Negative,0
31,769411673757196288-4.jpg,/tf/notebooks/image_classifier/dataset_minify/Neutral/769411673757196288-4.jpg,Neutral,1
32,800226885527539712-2.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/800226885527539712-2.jpg,Negative,0
33,783397802772721664-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Neutral/783397802772721664-1.jpg,Neutral,1
34,769264348841771012-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/769264348841771012-1.jpg,Positive,2
35,769289061693427712-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Neutral/769289061693427712-1.jpg,Neutral,1
36,784400027485609984-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/784400027485609984-1.jpg,Positive,2
37,769407592712069120-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Neutral/769407592712069120-1.jpg,Neutral,1
38,783486927542423552-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Neutral/783486927542423552-1.jpg,Neutral,1
39,783798493001371648-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/783798493001371648-1.jpg,Positive,2
40,796246801405853696-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/796246801405853696-1.jpg,Negative,0
41,800437460551553024-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/800437460551553024-1.jpg,Negative,0
42,782843701630349312-4.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/782843701630349312-4.jpg,Positive,2
43,782218989434843136-2.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/782218989434843136-2.jpg,Positive,2
44,769550345848565760-2.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/769550345848565760-2.jpg,Positive,2
45,784401357100965888-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Neutral/784401357100965888-1.jpg,Neutral,1
46,801085723772272640-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/801085723772272640-1.jpg,Negative,0
47,784187896391536640-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Neutral/784187896391536640-1.jpg,Neutral,1
48,783046265546342401-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Neutral/783046265546342401-1.jpg,Neutral,1
49,780498502690439168-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/780498502690439168-1.jpg,Positive,2
50,803060683134865408-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/803060683134865408-1.jpg,Negative,0
51,783010618177716228-3.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/783010618177716228-3.jpg,Positive,2
52,800649470056812544-3.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/800649470056812544-3.jpg,Negative,0
53,782016014468775936-3.jpg,/tf/notebooks/image_classifier/dataset_minify/Neutral/782016014468775936-3.jpg,Neutral,1
54,801665464699011072-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/801665464699011072-1.jpg,Negative,0
55,796197518346358785-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/796197518346358785-1.jpg,Negative,0
56,797535971063406592-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/797535971063406592-1.jpg,Negative,0
57,799260505277726720-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/799260505277726720-1.jpg,Negative,0
58,796777162766286848-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/796777162766286848-1.jpg,Negative,0
59,781535548569714688-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/781535548569714688-1.jpg,Positive,2
60,801826463041421312-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/801826463041421312-1.jpg,Negative,0
61,784174747223486464-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Neutral/784174747223486464-1.jpg,Neutral,1
62,782788550727241728-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Positive/782788550727241728-1.jpg,Positive,2
63,768277965989752832-1.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/768277965989752832-1.jpg,Negative,0
64,802890859956076544-2.jpg,/tf/notebooks/image_classifier/dataset_minify/Negative/802890859956076544-2.jpg,Negative,0
